iter	Passed	Remaining
465	3319	3804
466	3322	3791
467	3333	3789
468	3351	3795
469	3361	3790
470	3389	3806
471	3417	3823
472	3421	3812
473	3430	3807
474	3440	3802
475	3462	3811
476	3479	3814
477	3485	3806
478	3489	3795
479	3492	3783
480	3499	3776
481	3510	3772
482	3532	3781
483	3536	3770
484	3556	3776
485	3572	3777
486	3592	3783
487	3599	3776
488	3603	3765
489	3607	3755
490	3611	3743
491	3614	3732
492	3616	3719
493	3622	3710
494	3636	3710
495	3648	3707
496	3665	3709
497	3686	3716
498	3691	3706
499	3719	3719
500	3732	3717
501	3746	3717
502	3753	3708
503	3765	3706
504	3769	3695
505	3776	3687
506	3780	3676
507	3785	3666
508	3789	3655
509	3814	3665
510	3819	3654
511	3828	3648
512	3846	3651
513	3850	3640
514	3853	3629
515	3866	3626
516	3882	3627
517	3895	3624
518	3899	3613
519	3911	3610
520	3920	3604
521	3922	3591
522	3927	3581
523	3934	3574
524	3939	3564
525	3960	3568
526	3963	3557
527	3967	3546
528	3973	3537
529	3980	3529
530	3985	3520
531	3989	3509
532	3998	3503
533	4003	3493
534	4006	3482
535	4010	3471
536	4019	3465
537	4022	3454
538	4029	3446
539	4041	3442
540	4050	3436
541	4054	3425
542	4064	3421
543	4067	3409
544	4069	3397
545	4079	3391
546	4082	3381
547	4095	3378
548	4099	3367
549	4128	3377
550	4157	3387
551	4159	3376
552	4176	3376
553	4186	3370
554	4189	3358
555	4193	3348
556	4195	3336
557	4198	3325
558	4214	3325
559	4222	3317
560	4240	3318
561	4248	3311
562	4260	3306
563	4262	3295
564	4264	3283
565	4269	3273
566	4273	3263
567	4275	3251
568	4278	3241
569	4281	3230
570	4306	3235
571	4336	3244
572	4364	3252
573	4387	3256
574	4406	3256
575	4420	3253
576	4511	3307
577	4523	3302
578	4527	3291
579	4529	3279
580	4546	3278
581	4565	3279
582	4574	3272
583	4588	3268
584	4594	3259
585	4599	3249
586	4612	3245
587	4619	3236
588	4640	3238
589	4653	3233
590	4655	3222
591	4659	3210
592	4664	3201
593	4667	3190
594	4670	3179
595	4677	3170
596	4684	3162
597	4694	3155
598	4699	3145
599	4701	3134
600	4707	3125
601	4713	3116
602	4717	3105
603	4724	3097
604	4729	3087
605	4732	3076
606	4746	3073
607	4753	3064
608	4766	3060
609	4790	3062
610	4806	3060
611	4811	3050
612	4827	3047
613	4842	3044
614	4844	3032
615	4853	3025
616	4876	3027
617	4898	3027
618	4918	3027
619	4920	3015
620	4941	3015
621	4960	3014
622	4992	3021
623	5004	3015
624	5015	3009
625	5017	2997
626	5023	2988
627	5025	2976
628	5027	2965
629	5032	2955
630	5034	2944
631	5046	2938
632	5050	2927
633	5061	2922
634	5064	2910
635	5066	2899
636	5072	2890
637	5074	2879
638	5099	2880
639	5102	2870
640	5110	2862
641	5112	2851
642	5124	2845
643	5129	2835
644	5132	2824
645	5145	2819
646	5147	2808
647	5154	2799
648	5161	2791
649	5170	2784
650	5177	2775
651	5187	2768
652	5225	2777
653	5244	2774
654	5249	2765
655	5255	2755
656	5257	2744
657	5262	2735
658	5273	2728
659	5276	2717
660	5290	2713
661	5292	2702
662	5294	2691
663	5296	2680
664	5300	2670
665	5303	2659
666	5305	2648
667	5308	2638
668	5310	2627
669	5314	2617
670	5317	2607
671	5321	2597
672	5323	2586
673	5325	2575
674	5328	2565
675	5331	2555
676	5334	2545
677	5336	2534
678	5340	2524
679	5344	2515
680	5347	2505
681	5367	2502
682	5384	2499
683	5388	2489
684	5391	2479
685	5393	2468
686	5402	2461
687	5409	2452
688	5413	2443
689	5439	2443
690	5449	2436
691	5457	2428
692	5463	2420
693	5468	2411
694	5473	2402
695	5490	2397
696	5502	2392
697	5526	2391
698	5546	2388
699	5572	2388
700	5576	2378
701	5579	2368
702	5582	2358
703	5594	2352
704	5621	2352
705	5657	2356
706	5674	2351
707	5745	2369
708	5774	2369
709	5792	2365
710	5794	2355
711	5798	2345
712	5801	2335
713	5804	2325
714	5829	2323
715	5841	2316
716	5845	2307
717	5851	2298
718	5876	2296
719	5895	2292
720	5897	2281
721	5899	2271
722	5945	2277
723	5953	2269
724	5959	2260
725	5962	2250
726	5966	2240
727	5972	2231
728	5975	2221
729	5977	2210
730	5995	2206
731	6003	2197
732	6008	2188
733	6011	2178
734	6014	2168
735	6022	2160
736	6030	2152
737	6040	2144
738	6062	2140
739	6068	2132
740	6088	2127
741	6102	2121
742	6119	2116
743	6126	2107
744	6131	2098
745	6135	2088
746	6137	2078
747	6141	2069
748	6148	2060
749	6170	2056
750	6177	2048
751	6183	2039
752	6186	2029
753	6188	2019
754	6216	2017
755	6226	2009
756	6229	1999
757	6239	1992
758	6264	1989
759	6298	1988
760	6303	1979
761	6349	1983
762	6351	1972
763	6380	1970
764	6399	1965
765	6401	1955
766	6457	1961
767	6500	1963
768	6527	1960
769	6563	1960
770	6574	1952
771	6655	1965
772	6673	1959
773	6734	1966
774	6821	1980
775	6848	1976
776	6873	1972
777	6902	1969
778	6915	1961
779	6920	1951
780	6946	1947
781	6968	1942
782	6971	1932
783	6981	1923
784	7000	1917
785	7012	1909
786	7016	1899
787	7019	1888
788	7031	1880
789	7046	1873
790	7052	1863
791	7067	1856
792	7088	1850
793	7095	1840
794	7097	1830
795	7127	1826
796	7133	1816
797	7141	1807
798	7143	1797
799	7148	1787
800	7151	1776
801	7159	1767
802	7167	1758
803	7168	1747
804	7175	1738
805	7176	1727
806	7192	1720
807	7196	1710
808	7198	1699
809	7215	1692
810	7215	1681
811	7216	1670
812	7217	1660
813	7218	1649
814	7218	1638
815	7219	1627
816	7220	1617
817	7221	1606
818	7222	1596
819	7223	1585
820	7225	1575
821	7235	1566
822	7236	1556
823	7246	1547
824	7250	1538
825	7252	1527
826	7253	1517
827	7254	1507
828	7258	1497
829	7259	1486
830	7260	1476
831	7262	1466
832	7263	1456
833	7265	1446
834	7266	1435
835	7267	1425
836	7269	1415
837	7272	1405
838	7274	1395
839	7275	1385
840	7276	1375
841	7277	1365
842	7278	1355
843	7279	1345
844	7280	1335
845	7280	1325
846	7281	1315
847	7282	1305
848	7283	1295
849	7284	1285
850	7285	1275
851	7285	1265
852	7286	1255
853	7289	1246
854	7292	1236
855	7294	1227
856	7296	1217
857	7296	1207
858	7297	1197
859	7298	1188
860	7298	1178
861	7299	1168
862	7300	1158
863	7306	1150
864	7307	1140
865	7309	1131
866	7310	1121
867	7311	1111
868	7312	1102
869	7313	1092
870	7313	1083
871	7314	1073
872	7315	1064
873	7316	1054
874	7317	1045
875	7320	1036
876	7322	1026
877	7323	1017
878	7327	1008
879	7328	999
880	7329	989
881	7329	980
882	7330	971
883	7331	961
884	7331	952
885	7332	943
886	7336	934
887	7337	925
888	7340	916
889	7341	907
890	7342	898
891	7344	889
892	7345	880
893	7347	871
894	7351	862
895	7354	853
896	7355	844
897	7356	835
898	7357	826
899	7357	817
900	7358	808
901	7359	799
902	7360	790
903	7361	781
904	7361	772
905	7363	763
906	7364	755
907	7365	746
908	7367	737
909	7367	728
910	7369	719
911	7370	711
912	7371	702
913	7372	693
914	7372	684
915	7373	676
916	7373	667
917	7374	658
918	7375	650
919	7376	641
920	7378	632
921	7379	624
922	7380	615
923	7382	607
924	7383	598
925	7384	590
926	7385	581
927	7386	573
928	7387	564
929	7387	556
930	7388	547
931	7388	539
932	7389	530
933	7390	522
934	7391	513
935	7391	505
936	7393	497
937	7394	488
938	7395	480
939	7398	472
940	7399	463
941	7400	455
942	7401	447
943	7402	439
944	7402	430
945	7404	422
946	7405	414
947	7405	406
948	7407	398
949	7408	389
950	7409	381
951	7410	373
952	7411	365
953	7413	357
954	7415	349
955	7416	341
956	7417	333
957	7420	325
958	7424	317
959	7425	309
960	7426	301
961	7430	293
962	7431	285
963	7432	277
964	7433	269
965	7433	261
966	7434	253
967	7435	245
968	7439	238
969	7441	230
970	7444	222
971	7445	214
972	7446	206
973	7446	198
974	7448	190
975	7449	183
976	7451	175
977	7452	167
978	7452	159
979	7453	152
980	7454	144
981	7455	136
982	7455	128
983	7456	121
984	7457	113
985	7459	105
986	7460	98
987	7461	90
988	7462	82
989	7463	75
990	7463	67
991	7464	60
992	7466	52
993	7468	45
994	7468	37
995	7469	29
996	7470	22
997	7471	14
998	7472	7
999	7474	0
